rank,opportunity_score,product_name,positioning,duration_days,destinations,primary_keyword,selling_price_estimate,margin_target,status
1,92.5,"China, Made for Families","A private first-China journey designed around children's curiosity, parents' comfort and enough space for the whole family to enjoy it.",12,Beijing | Xi'an | Chengdu | Shanghai,private China family tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$4,800-7,500 per adult-equivalent traveler.",ESTIMATE: 34-40% blended gross margin,priority
2,90.5,"China in Motion: Chengdu, Chongqing & Zhangjiajie","Pandas, Sichuan flavor, Chongqing's vertical cityscape and Zhangjiajie's floating peaks in one visually powerful private journey.",10,Chengdu | Chongqing | Zhangjiajie,Chengdu Chongqing Zhangjiajie tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$3,900-6,200 per person for two travelers.",ESTIMATE: 35-42% blended gross margin,priority
3,88.7,China at the Table,"A private culinary journey where each city is understood through markets, family kitchens, regional traditions and contemporary dining.",10,Beijing | Xi'an | Chengdu | Shanghai,private China food tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$4,300-7,200 per person for two travelers.",ESTIMATE: 38-45% blended gross margin,priority
4,86.1,Along Yunnan's Tea Horse Road,"A private highland journey through Dali, Lijiang and Shangri-La, shaped by tea, living traditions and exceptional boutique stays.",10,Dali | Shaxi | Lijiang | Shangri-La,luxury Yunnan tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$5,000-8,500 per person for two travelers.",ESTIMATE: 38-45% blended gross margin,concept
5,85.9,"The Silk Road, Privately","A considered journey from Xi'an to Kashgar through cave art, desert landscapes and living Silk Road cultures.",12,Xi'an | Zhangye | Dunhuang | Turpan | Kashgar,private China Silk Road tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$5,800-9,500 per person for two travelers.",ESTIMATE: 36-43% blended gross margin,concept
6,85.4,"China Now: Shanghai, Hangzhou, Chongqing & Shenzhen","A private journey through the design, technology, food and urban life shaping China today.",10,Shanghai | Hangzhou | Chongqing | Shenzhen,modern China tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$5,200-8,500 per person for two travelers.",ESTIMATE: 38-45% blended gross margin,priority
7,84.7,China at an Easier Pace,"A private first-China journey for travelers who value comfort, depth and realistic days over a crowded checklist.",12,Beijing | Xi'an | Shanghai,China tours for seniors,"ESTIMATE — VERIFY WITH SUPPLIERS: US$4,400-7,200 per person for two travelers.",ESTIMATE: 35-42% blended gross margin,concept
8,83.2,A Muslim-Friendly Journey Through China,"Beijing, Xi'an and Shanghai with private guiding, carefully checked meals, prayer-aware pacing and China's Islamic heritage treated with respect.",9,Beijing | Xi'an | Shanghai,Muslim friendly China tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$3,600-5,900 per person for two travelers.",ESTIMATE: 34-40% blended gross margin,priority
9,82.6,China by First-Class Rail,"Beijing, Xi'an, Chengdu and Shanghai connected by China's high-speed rail, with private local teams at every stop.",12,Beijing | Xi'an | Chengdu | Shanghai,China high speed rail tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$4,200-7,000 per person for two travelers.",ESTIMATE: 34-40% blended gross margin,concept
10,79.7,"Tea, Stillness & the Chinese Landscape","A private restorative journey through Hangzhou, Wuyishan and Xiamen, connecting tea, landscape, movement and contemporary Chinese wellbeing.",9,Hangzhou | Wuyishan | Xiamen,China wellness tour,"ESTIMATE — VERIFY WITH SUPPLIERS: US$4,900-8,200 per person for two travelers.",ESTIMATE: 40-48% blended gross margin,research
